f^(1): LTE = O(7)
=========================

f^(1): forward 0
-----------------------------------
(weights, stencil)
-2.5928571428514848307145e+00, 0
6.9999999999739657141617e+00, 1
-1.0499999999944678918951e+01, 2
1.1666666666596272605716e+01, 3
-8.7499999999432471753380e+00, 4
4.1999999999716051135579e+00, 5
-1.1666666666585643330478e+00, 6
1.4285714285613176910417e-01, 7
-----------------------------------
f^(1): forward 1
-----------------------------------
(weights, stencil)
-1.4285714285713457805116e-01, -1
-1.4500000000000197175609e+00, 0
3.0000000000000008881784e+00, 1
-2.4999999999999640287740e+00, 2
1.6666666666666245522066e+00, 3
-7.4999999999997757349490e-01, 4
1.9999999999999346078638e-01, 5
-2.3809523809522985943188e-02, 6
-----------------------------------
f^(1): forward 2
-----------------------------------
(weights, stencil)
2.3809523809524002491145e-02, -2
-3.3333333333334830284045e-01, -1
-7.8333333333330179559795e-01, 0
1.6666666666666447582656e+00, 1
-8.3333333333332559877960e-01, 2
3.3333333333332992864939e-01, 3
-8.3333333333332371140045e-02, 4
9.5238095238094049727051e-03, 5
-----------------------------------
f^(1): forward 3
-----------------------------------
(weights, stencil)
-9.5238095238095663019884e-03, -3
1.0000000000000063005157e-01, -2
-6.0000000000000230926389e-01, -1
-2.4999999999999780730953e-01, 0
9.9999999999999888977698e-01, 1
-2.9999999999999910071935e-01, 2
6.6666666666666471452452e-02, 3
-7.1428571428571252868722e-03, 4
-----------------------------------
f^(1): backward 3
-----------------------------------
(weights, stencil)
7.1428571428571495730009e-03, -4
-6.6666666666666721252632e-02, -3
3.0000000000000021094237e-01, -2
-1.0000000000000004440892e+00, -1
2.5000000000000044408921e-01, 0
5.9999999999999997779554e-01, 1
-1.0000000000000003330669e-01, 2
9.5238095238095298727954e-03, 3
-----------------------------------
f^(1): backward 2
-----------------------------------
(weights, stencil)
-9.5238095238094899741554e-03, -5
8.3333333333333092785011e-02, -4
-3.3333333333333264869580e-01, -3
8.3333333333333237114005e-01, -2
-1.6666666666666662965923e+00, -1
7.8333333333333343695415e-01, 0
3.3333333333333303727386e-01, 1
-2.3809523809523738813176e-02, 2
-----------------------------------
f^(1): backward 1
-----------------------------------
(weights, stencil)
2.3809523809523145537748e-02, -6
-1.9999999999999476529844e-01, -5
7.4999999999998190336470e-01, -4
-1.6666666666666312135447e+00, -3
2.4999999999999569233466e+00, -2
-2.9999999999999698019337e+00, -1
1.4499999999999886313162e+00, 0
1.4285714285714445903608e-01, 1
-----------------------------------
f^(1): backward 0
-----------------------------------
(weights, stencil)
-1.4285714285717113214425e-01, -7
1.1666666666668938923124e+00, -6
-4.2000000000007986500350e+00, -5
8.7500000000016004975123e+00, -4
-1.1666666666668657370565e+01, -3
1.0500000000001554312234e+01, -2
-7.0000000000007185363415e+00, -1
2.5928571428572961821146e+00, 0
-----------------------------------
=========================
f^(2): LTE = O(6)
=========================

f^(2): forward 0
-----------------------------------
(weights, stencil)
5.2111111110879235752691e+00, 0
-2.2299999999882018641983e+01, 1
4.3949999999734806976903e+01, 2
-5.2722222221878610071144e+01, 3
4.0999999999722646748523e+01, 4
-2.0099999999861186239514e+01, 5
5.6611111110714924521403e+00, 6
-6.9999999999505502223940e-01, 7
-----------------------------------
f^(2): forward 1
-----------------------------------
(weights, stencil)
6.9999999999997042365862e-01, -1
-3.8888888888881645300444e-01, 0
-2.7000000000000188293825e+00, 1
4.7499999999999058530875e+00, 2
-3.7222222222221064136249e+00, 3
1.7999999999999387600980e+00, 4
-4.9999999999998234745391e-01, 5
6.1111111111108895599386e-02, 6
-----------------------------------
f^(2): forward 2
-----------------------------------
(weights, stencil)
-6.1111111111111775240357e-02, -2
1.1888888888888937689359e+00, -1
-2.1000000000000138555833e+00, 0
7.2222222222223297904975e-01, 1
4.7222222222221671428244e-01, 2
-2.9999999999999688027330e-01, 3
8.8888888888887962469454e-02, 4
-1.1111111111110995308682e-02, 5
-----------------------------------
f^(2): forward 3
-----------------------------------
(weights, stencil)
1.1111111111111106330984e-02, -3
-1.4999999999999999444888e-01, -2
1.5000000000000002220446e+00, -1
-2.7222222222222223209087e+00, 0
1.5000000000000004440892e+00, 1
-1.5000000000000010547119e-01, 2
1.1111111111111146229624e-02, 3
-4.3175339846533758293617e-18, 4
-----------------------------------
f^(2): backward 3
-----------------------------------
(weights, stencil)
3.2526065174565133020224e-18, -4
1.1111111111111083779579e-02, -3
-1.4999999999999991118216e-01, -2
1.5000000000000002220446e+00, -1
-2.7222222222222223209087e+00, 0
1.5000000000000000000000e+00, 1
-1.5000000000000002220446e-01, 2
1.1111111111111115004602e-02, 3
-----------------------------------
f^(2): backward 2
-----------------------------------
(weights, stencil)
-1.1111111111111080310132e-02, -5
8.8888888888888670236632e-02, -4
-2.9999999999999937827511e-01, -3
4.7222222222222143273029e-01, -2
7.2222222222222232090871e-01, -1
-2.0999999999999996447286e+00, 0
1.1888888888888886619100e+00, 1
-6.1111111111111046656497e-02, 2
-----------------------------------
f^(2): backward 1
-----------------------------------
(weights, stencil)
6.1111111111109568672095e-02, -6
-4.9999999999998767652443e-01, -5
1.7999999999999574118448e+00, -4
-3.7222222222221379439588e+00, -3
4.7499999999998978594817e+00, -2
-2.6999999999999277910945e+00, -1
-3.8888888888891642858781e-01, 0
7.0000000000000417443857e-01, 1
-----------------------------------
f^(2): backward 0
-----------------------------------
(weights, stencil)
-7.0000000000013273826482e-01, -7
5.6611111111121825700820e+00, -6
-2.0100000000003781508440e+01, -5
4.1000000000007602807273e+01, -4
-5.2722222222231692967398e+01, -3
4.3950000000007392486623e+01, -2
