forward 0
number of lines to read: 13
-3.1031961371632874602255e+00, 0
1.1999869427991299630776e+01, 1
-3.2999421609491911056011e+01, 2
7.3331714031387662089401e+01, 3
-1.2374685941101856201385e+02, 4
1.5839558733402631673925e+02, 5
-1.5399541333219792704767e+02, 6
1.1313931357532035804070e+02, 7
-6.1872984664819632882882e+01, 8
2.4443622873223699087930e+01, 9
-6.5997723996842614369029e+00, 10
1.0908706560113683448066e+00, 11
-8.3330343585121369187618e-02, 12
forward 1
number of lines to read: 13
-8.3333345576509287866429e-02, -1
-2.0198773436325865304752e+00, 0
5.5000002379324612888922e+00, 1
-9.1666676038084133892880e+00, 2
1.3750001985656277625480e+01, 3
-1.6500002845851660993048e+01, 4
1.5400002959197664154090e+01, 5
-1.1000002275021342867944e+01, 6
5.8928584289333203471983e+00, 7
-2.2916671878592258515539e+00, 8
6.1111125471926208696516e-01, 9
-1.0000002413432544645655e-01, 10
7.5757594450792230950098e-03, 11
forward 2
number of lines to read: 13
7.5757578091687101384810e-03, -2
-1.8181818198833693545069e-01, -1
-1.4289682559433498632018e+00, 0
3.3333333414393035987189e+00, 1
-3.7500000140294686978848e+00, 2
4.0000000152640877715271e+00, 3
-3.5000000121604597502767e+00, 4
2.4000000074623675239138e+00, 5
-1.2500000034872122967045e+00, 6
4.7619047739207448488585e-01, 7
-1.2500000028790028694381e-01, 8
2.0202020244858551190070e-02, 9
-1.5151515181326413467949e-03, 10
forward 3
number of lines to read: 13
-1.5151514508327725439668e-03, -3
2.7272726218223408700680e-02, -2
-2.9999999621885115042019e-01, -1
-9.9563491925453928566014e-01, 0
2.2499999786383551025892e+00, 1
-1.7999999611169228419527e+00, 2
1.3999999603300339323653e+00, 3
-8.9999997133184916897619e-01, 4
4.4999998473710994817409e-01, 5
-1.6666666079201580830116e-01, 6
4.2857141307122509354954e-02, 7
-6.8181815670257635633722e-03, 8
5.0505048619037024200396e-04, 9
forward 4
number of lines to read: 13
5.0505050492993136014575e-04, -4
-8.0808080791212166110737e-03, -3
6.6666666655686449005636e-02, -2
-4.4444444416273359843572e-01, -1
-6.3452381005083247078602e-01, 0
1.6000000002055885239827e+00, 1
-9.3333333323814426929488e-01, 2
5.3333333325144316461319e-01, 3
-2.4999999995404045827208e-01, 4
8.8888888870920376716889e-02, 5
-2.2222222217468379917849e-02, 6
3.4632034624347655948906e-03, 7
-2.5252525246774692969584e-04, 8
forward 5
number of lines to read: 13
-2.5252525252585143831358e-04, -5
3.7878787878807538593018e-03, -4
-2.7777777777697042205229e-02, -3
1.3888888888747349947828e-01, -2
-6.2499999997881561242252e-01, -1
-3.0952380956348729545979e-01, 0
1.1666666666887488545967e+00, 1
-5.0000000000354993812124e-01, 2
2.0833333333505332785052e-01, 3
-6.9444444445055680814605e-02, 4
1.6666666666816286335173e-02, 5
-2.5252525252752572836046e-03, 6
1.8037518037679773361473e-04, 7
central 0
number of lines to read: 13
1.8037518037510998319788e-04, -6
-2.5974025974017057524779e-03, -5
1.7857142857138019742536e-02, -4
-7.9365079365068189054533e-02, -3
2.6785714285719636196248e-01, -2
-8.5714285714181104314235e-01, -1
-1.9472528960104290101553e-12, 0
8.5714285714360727297390e-01, 1
-2.6785714285693468239558e-01, 2
7.9365079365007376588359e-02, 3
-1.7857142857127049351273e-02, 4
2.5974025974003873626361e-03, 5
-1.8037518037503230011222e-04, 6
backward 5
number of lines to read: 13
-1.8037518037517769162355e-04, -7
2.5252525252524907727059e-03, -6
-1.6666666666666461738000e-02, -5
6.9444444444443642616704e-02, -4
-2.0833333333333065029436e-01, -3
4.9999999999999039657084e-01, -2
-1.1666666666667029339521e+00, -1
3.0952380952389429991101e-01, 0
6.2499999999996191935026e-01, 1
-1.3888888888889133754745e-01, 2
2.7777777777777998280406e-02, 3
-3.7878787878787771419009e-03, 4
2.5252525252524997715839e-04, 5
backward 4
number of lines to read: 13
2.5252525252523989407819e-04, -8
-3.4632034632033010038143e-03, -7
2.2222222222221272441844e-02, -6
-8.8888888888885575489951e-02, -5
2.4999999999999250599458e-01, -4
-5.3333333333332244574621e-01, -3
9.3333333333332413328520e-01, -2
-1.5999999999999974242826e+00, -1
6.3452380952381182144251e-01, 0
4.4444444444444103359260e-01, 1
-6.6666666666665541640668e-02, 2
8.0808080808078171231035e-03, 3
-5.0505050505048477548636e-04, 4
backward 3
number of lines to read: 13
-5.0505050505119503632956e-04, -9
6.8181818181905278972166e-03, -8
-4.2857142857193351870304e-02, -7
1.6666666666684462616566e-01, -6
-4.5000000000042522652066e-01, -5
9.0000000000072621908487e-01, -4
-1.4000000000009078515717e+00, -3
1.8000000000008340439450e+00, -2
-2.2500000000005542233339e+00, -1
9.9563492063517611274648e-01, 0
2.9999999999992449373210e-01, 1
-2.7272727272714514246132e-02, 2
1.5151515151506703398682e-03, 3
