forward 0
number of lines to read: 21
-6.0380252939484903643153e-03, 0
1.2775185076659447552805e-02, 1
2.6738439045466935034545e-02, 2
-1.7490645450916544878517e-01, 3
4.1679135414647666690868e-01, 4
-5.9458328202933119488449e-01, 5
5.3981464197578443720005e-01, 6
-2.9345355871628581168054e-01, 7
6.6837786463992202024009e-02, 8
1.6133656155781717078668e-02, 9
-1.0087824259985474564805e-02, 10
4.5222194866829115928245e-04, 11
-1.8793715143022226773950e-03, 12
9.8192850989388944828173e-04, 13
1.1584956976531332346197e-03, 14
-6.0603189949804856743315e-04, 15
-4.5731020511497312650701e-04, 16
4.2788337747568931960715e-04, 17
-9.7050281513986520623774e-05, 18
-6.4081049500591924202378e-06, 19
3.7244162432932436776110e-06, 20
forward 1
number of lines to read: 21
-1.4281226666577498222999e-03, -1
2.7357056932107619642847e-03, 0
3.8993823319902155485894e-04, 1
5.9181775108490455167276e-03, 2
-5.0479463687916295566716e-02, 3
1.3388654944494890464135e-01, 4
-2.0588637462367659347606e-01, 5
2.0423852489906246798768e-01, 6
-1.2506239805215801919047e-01, 7
3.2613815408142503293742e-02, 8
1.3863841344588978890529e-02, 9
-1.4623643683112115890244e-02, 10
3.2128344603705892221224e-03, 11
1.1804716402061255203088e-03, 12
-4.6006916762213862469311e-04, 13
-2.0101032641157195383734e-04, 14
9.0341256875844577951297e-05, 15
2.8434766002491419903181e-05, 16
-2.0702886367191553762404e-05, 17
3.1504152762337174393549e-06, 18
2.1188699396694278131686e-11, 19
forward 2
number of lines to read: 21
1.1698145088307510843211e-04, -2
-4.7847936767792659511905e-04, -1
5.5393270120195495578863e-03, 0
-3.2463324621654361668011e-02, 1
1.0585407292269249923677e-01, 2
-2.3016078390546890197754e-01, 3
3.5851607473375168844143e-01, 4
-4.0580317274380361958208e-01, 5
3.2610950799130022925709e-01, 6
-1.7064028508063722178179e-01, 7
3.9791072150759144998577e-02, 8
1.4287464433177868294855e-02, 9
-1.4103473847377033176254e-02, 10
2.9226013701077022295671e-03, 11
9.4748100670753732099882e-04, 12
-3.6032516867772981404225e-04, 13
-1.3923072608553661876941e-04, 14
6.1505640319496577834817e-05, 15
1.7260867246625591608358e-05, 16
-1.2302797952625450352633e-05, 17
1.7949911002901366054982e-06, 18
forward 3
number of lines to read: 21
1.6099949109839111448250e-03, -3
3.1400950187091547505247e-02, -2
-1.2640063871822182495208e+00, -1
4.1568987000969395140260e+00, 0
-7.6322321435904125763727e+00, 1
1.1094812064644463234231e+01, 2
-1.2650172852904113085515e+01, 3
1.0830078558363688046029e+01, 4
-6.9821771694095016158599e+00, 5
3.2619988324018498460077e+00, 6
-9.9886514283151595083865e-01, 7
1.4054704452447522311509e-01, 8
1.9342218819350685821146e-02, 9
-9.9081852941104320980914e-03, 10
