f^(1): LTE = O(20)
=========================

f^(1): forward 0
-----------------------------------
(weights, stencil)
-9.8543718130941326122096e-04, 6
1.0614383188208535583122e-04, 7
-5.4890011036284414451037e-06, 8
-----------------------------------
f^(1): backward 7
-----------------------------------
(weights, stencil)
1.4423832870119687225357e-08, -13
-4.8136857812991341869466e-08, -12
-7.0725338077126864495265e-08, -11
-1.7967937939605543467186e-06, -10
8.4151064757925534781874e-06, -9
1.4981050372647882699267e-04, -8
-1.8596884396039146513518e-03, -7
1.0760458362215497701841e-02, -6
-4.1346054000931983796185e-02, -5
1.1897607703023030389922e-01, -4
-2.7606639791377407533446e-01, -3
5.5944153218800696247825e-01, -2
-1.1895442367234241309859e+00, -1
2.9124564955197873583614e-01, 0
6.6298538592903988320160e-01, 1
-1.7155844095837929907944e-01, 2
4.5301787182282102217634e-02, 3
-9.9570579736401633452747e-03, 4
1.6287898202510815281324e-03, 5
-1.7300331310992001420876e-04, 6
8.8748822229019067378553e-06, 7
-----------------------------------
f^(1): backward 6
-----------------------------------
(weights, stencil)
2.0026691999525415731267e-10, -14
4.1584342567163672965814e-08, -13
-1.3892292164080094919715e-07, -12
-2.0944929757677022785763e-07, -11
-3.9621636176252716707411e-06, -10
1.8754954093417329133832e-05, -9
3.1198494572183581774114e-04, -8
-3.6565080306136272386697e-03, -7
1.9756441082797178421249e-02, -6
-7.0322305983766333903340e-02, -5
1.8595685597433575519943e-01, -4
-3.9298800607342987412096e-01, -3
7.1777523579997681846265e-01, -2
-1.3581958450043765118664e+00, -1
4.3324340261693811138244e-01, 0
5.6872150499838303172595e-01, 1
-1.2272046687620258298423e-01, 2
2.5939391666986034989950e-02, 3
-4.2781257321464604553851e-03, 4
4.6675225743556648201268e-04, 5
-2.4797844905234409307792e-05, 6
-----------------------------------
f^(1): backward 5
-----------------------------------
(weights, stencil)
-5.5590089827394583064609e-08, -15
2.3288039040804725987761e-07, -14
3.6709790351303775945529e-07, -13
-1.7926296128020885858255e-06, -12
-2.8309097240718241460819e-06, -11
-1.7935313578014554523670e-05, -10
9.5646069059327875738069e-05, -9
1.3385941535039968652149e-03, -8
-1.3426775017639109091605e-02, -7
6.1342060396476064121352e-02, -6
-1.8388196669720441311924e-01, -5
4.0800899032051390902254e-01, -4
-7.1976292029844202158273e-01, -3
1.0888210988295097259027e+00, -2
-1.6868961610337882550681e+00, -1
6.6069331958445198793584e-01, 0
4.4673629403248338309851e-01, 1
-7.2922123813243214240920e-02, 2
1.0962351090794877211954e-02, 3
-1.1459687601206504804080e-03, 4
5.9575608350436992904486e-05, 5
-----------------------------------
f^(1): backward 4
-----------------------------------
(weights, stencil)
-8.3654048527051750553264e-11, -16
-2.3429565058121994964690e-07, -15
9.7769708455859640119500e-07, -14
1.1272665424666782663278e-06, -13
-6.1572356909445719405248e-06, -12
-9.7664522990583828862890e-06, -11
-4.5396904447537843449098e-05, -10
2.5727744703743260805059e-04, -9
3.3796745988061115129053e-03, -8
-3.1648848734670373405997e-02, -7
1.3332328497303297387688e-01, -6
-3.6469245226992724751014e-01, -5
7.3021151672079576133711e-01, -4
-1.1472892219869643692931e+00, -3
1.5209465262424046727574e+00, -2
-2.0222381831919857830826e+00, -1
8.5977677664632412568579e-01, 0
3.5768982065586280016944e-01, 1
-4.3821367444294281878747e-02, 2
4.3944601963165370178688e-03, 3
-2.2981384462489402235701e-04, 4
-----------------------------------
f^(1): backward 3
-----------------------------------
(weights, stencil)
4.0796795365897326851286e-07, -17
-8.5307415828472165183387e-07, -16
-8.7859036952246869059185e-06, -15
3.2711620697294830500696e-05, -14
-2.7925957238642543996765e-06, -13
-7.0271000816569243233554e-05, -12
-1.1290208869695781627573e-04, -11
-1.8351382142617003343996e-04, -10
1.4855337224038839272211e-03, -9
1.7177918664140850307787e-02, -8
-1.3759720952981152608530e-01, -7
4.8948342049264126352170e-01, -6
-1.1210622959301761447648e+00, -5
1.8619642592229463939901e+00, -4
-2.3970776734429799503800e+00, -3
2.5594365259942506440893e+00, -2
-2.6733642863988467119896e+00, -1
1.1643407570731372224770e+00, 0
2.5436422947462827837128e-01, 1
-1.9748666887198937369696e-02, 2
9.4348644073077598398713e-04, 3
-----------------------------------
f^(1): backward 2
-----------------------------------
(weights, stencil)
-9.1808822133222962608851e-06, -18
6.0936502265001806877102e-05, -17
-8.4124946392419804367356e-05, -16
-3.0685043372692812979965e-04, -15
1.0149389104820586218758e-03, -14
-4.4349300216347229981056e-04, -13
-8.6254616269954541025317e-04, -12
