forward 0
number of lines to read: 21
-3.7912705330967213512849e+00, 0
-4.3773002522866846675242e+01, 1
3.2542618727551916890661e+02, 2
-9.6310070447941893689858e+02, 3
1.6980106322506860578869e+03, 4
-1.9667833539156415554316e+03, 5
1.4950563891723484175600e+03, 6
-6.7924435690186442116101e+02, 7
1.2755838083095096635589e+02, 8
8.1927875881941396585262e+00, 9
1.4406322681616053671405e+01, 10
-8.6087371878380025691513e+00, 11
-8.9574282289647086940931e+00, 12
4.1524537723670746913740e+00, 13
3.6855832131073942292687e+00, 14
-1.8669221555573498605440e+00, 15
-1.2339563432041198431932e+00, 16
1.1242656119783978052595e+00, 17
-2.4695654202878208893779e-01, 18
-1.5075199749655203429466e-02, 19
8.7616134633675193943425e-03, 20
forward 1
number of lines to read: 21
5.3323097827385907976350e+00, -1
-3.6663575759265427222999e+01, 0
1.2185287642901141680341e+02, 1
-2.6365875353856665697094e+02, 2
4.1218342238568413904432e+02, 3
-4.7797811699819129671596e+02, 4
4.0499430475839670862115e+02, 5
-2.3869502485035559402604e+02, 6
8.7126692218721075278154e+01, 7
-1.3473233210214759836276e+01, 8
-7.8774055119286845449977e-01, 9
-9.4802779881438292708395e-01, 10
5.2649395376884866593059e-01, 11
4.1789241534825782853346e-01, 12
-1.7838673194369342178689e-01, 13
-1.0931826958057339060915e-01, 14
5.0941504722813099603762e-02, 15
1.9567677007665314897755e-02, 16
-1.4686563014339130278652e-02, 17
2.3631107500778000818364e-03, 18
3.4990015822685394604801e-08, 19
forward 2
number of lines to read: 21
1.5668094933014398151272e-01, -2
3.2217105772507301786334e+00, -1
-2.3144507832190349461143e+01, 0
7.0259928555599913124752e+01, 1
-1.3304287402906876991437e+02, 2
1.8013254564644753941138e+02, 3
-1.8233420628322858192405e+02, 4
1.3666226747007954145374e+02, 5
-7.2147633468582341720321e+01, 6
2.3851152468179407151183e+01, 7
-3.3728719951722734293753e+00, 8
-1.8732879594181450766399e-01, 9
-1.9648318606924108919998e-01, 10
1.0531560446537707731451e-01, 11
7.5847716506732776320376e-02, 12
-3.1494950911951875849315e-02, 13
-1.7242406041141328243427e-02, 14
7.8811898379270318298895e-03, 15
2.7024508323668459258693e-03, 16
-1.9817304548817539153194e-03, 17
3.0564788584378817107648e-04, 18
forward 3
number of lines to read: 21
-1.6103477490830839236047e-02, -3
2.9428055873084080218405e-01, -2
5.7097018528860876696029e-01, -1
-5.6573395445816725413124e+00, 0
1.5466418537063194804659e+01, 1
-2.5579336231895062780950e+01, 2
2.9409192175293341620090e+01, 3
-2.4789327605901707585190e+01, 4
1.5476623859788393389181e+01, 5
-6.8292351234191812636709e+00, 6
1.8930095892680411928666e+00, 7
-2.2489713338028655131851e-01, 8
-1.1069866680164242023210e-02, 9
-8.5951907629369488084148e-03, 10
