F0
number of lines to read: 14
-1.9563854432530320082151e+01, 0
1.6301372693071652975050e+02, 1
-6.8548334548110926789377e+02, 2
1.8991778381336573602312e+03, 3
-3.7928488516995380450680e+03, 4
5.6723346623915513191605e+03, 5
-6.4633764052213045943063e+03, 6
5.6404726152533485219465e+03, 7
-3.7517101768642141905730e+03, 8
1.8721681502783255837130e+03, 9
-6.7963597184545812979195e+02, 10
1.6965981734413043113818e+02, 11
-2.6068121341717272798633e+01, 12
1.8599165541423583469793e+00, 13
F1
number of lines to read: 14
-1.8611415709418563935174e+00, -1
6.4827973355168140301430e+00, 0
-6.2622491833526723326031e+00, 1
-8.4251965096090728479794e+00, 2
3.7323124035352812200017e+01, 3
-6.9194741743874430994765e+01, 4
8.6901184838556389422592e+01, 5
-8.0058467079234048924263e+01, 6
5.5090146498133272245923e+01, 7
-2.8131870480331013339992e+01, 8
1.0382778976364182454972e+01, 9
-2.6241844876701798661145e+00, 10
4.0708622424757018309904e-01, 11
-2.9266853157778174865378e-02, 12
F2
number of lines to read: 14
2.9266772565147515516859e-02, -2
-2.2708750446510679310563e+00, -1
9.1460695889669665348265e+00, 0
-1.6915357793096873706418e+01, 1
2.0870883643705916199451e+01, 2
-2.1269068316834498943990e+01, 3
1.8693572277507161771837e+01, 4
-1.3542619709257984084161e+01, 5
7.8298714321514681913072e+00, 6
-3.5020835177624758394188e+00, 7
1.1642460942543537694149e+00, 8
-2.7035475255803931293741e-01, 9
3.9099028118784823204734e-02, 10
-2.6497115458889285849464e-03, 11
F3
number of lines to read: 14
2.6497113423467337674222e-03, -3
-7.8291840763634150401895e-03, -2
-2.0297510628423562906164e+00, -1
8.1815740427690517577730e+00, 0
-1.4262996040406271447409e+01, 1
1.5566160780115676942614e+01, 2
-1.3311984198457098571566e+01, 3
9.5997619591242315806312e+00, 4
-5.5855357460412893289003e+00, 5
2.5251488237050567775555e+00, 6
-8.4972222690895282681822e-01, 7
1.9975108333126595505647e-01, 8
-2.9231000635977874568816e-02, 9
2.0030663884863264025127e-03, 10
F4
number of lines to read: 14
-2.0030663724907773332040e-03, -4
3.0692640519804234577883e-02, -3
-1.9010822179308847768020e-01, -2
-1.3006349810587651827376e+00, -1
6.1765047436555207127640e+00, 0
-1.0252857202019711735375e+01, 1
9.5509523846955630688171e+00, 2
-6.4374603194217279167333e+00, 3
3.5845535728564152933018e+00, 4
-1.5753968261294279962215e+00, 5
5.2007936534127285899132e-01, 6
-1.2060606066931375823792e-01, 7
1.7472041856387107716664e-02, 8
-1.1880711887116944536213e-03, 9
F5
number of lines to read: 14
1.1880711882683342613121e-03, -5
-1.8636063013499036544740e-02, -4
1.3880711881327936763064e-01, -3
-6.2256613741967070652095e-01, -2
-1.1137566265433899992399e-01, -1
3.7979861137138071214281e+00, 0
-6.6850793670579449212710e+00, 1
5.4734920643277877871924e+00, 2
-2.8696825400878620548895e+00, 3
1.2060350530963783732830e+00, 4
-3.8613756620171568734179e-01, 5
8.7621452636751057108100e-02, 6
-1.2491582493839737538766e-02, 7
8.3904521420060111831785e-04, 8
F6
number of lines to read: 14
-8.3904521405429844348178e-04, -6
1.2934704184844648261477e-02, -5
-9.4989177490192477915087e-02, -4
4.4421957672385453674835e-01, -3
-1.4624503968298099287892e+00, -2
1.5683928571195346890477e+00, -1
1.2783333334244777468314e+00, 0
-3.8054761905307450398084e+00, 1
2.9538392857184572193319e+00, 2
-1.1899140211692877944216e+00, 3
3.6615079365293312640972e-01, 4
-8.0725108225643923964832e-02, 5
1.1268338143418661634332e-02, 6
-7.4494949495508295395085e-04, 7
B6
number of lines to read: 14
7.4494949494909403799048e-04, -7
-1.1268338143332131892627e-02, -6
8.0725108225065636546880e-02, -5
-3.6615079365060326788139e-01, -4
1.1899140211634209318703e+00, -3
-2.9538392857130850721603e+00, -2
3.8054761904761402746544e+00, -1
-1.2783333333368780415640e+00, 0
-1.5683928571392717898902e+00, 1
1.4624503968243864893140e+00, 2
-4.4421957671927181365845e-01, 3
9.4989177489113979513391e-02, 4
-1.2934704184695725720511e-02, 5
8.3904521404467484815837e-04, 6
B5
number of lines to read: 14
-8.3904521404516035389121e-04, -8
1.2491582491581745134601e-02, -7
-8.7621452621447964981272e-02, -6
3.8613756613754945945516e-01, -5
-1.2060350529100190009046e+00, -4
2.8696825396825280662938e+00, -3
-5.4734920634922730187100e+00, -2
6.6850793650801589862454e+00, -1
-3.7979861111122685812802e+00, 0
1.1137566137641574659511e-01, 1
6.2256613756592837916060e-01, 2
-1.3880711880708992977951e-01, 3
1.8636063011060233912675e-02, 4
-1.1880711880710484971979e-03, 5
B4
number of lines to read: 14
1.1880711880712926595272e-03, -9
-1.7472041847043071755019e-02, -8
1.2060606060606675338231e-01, -7
-5.2007936507938135051177e-01, -6
1.5753968253968437807089e+00, -5
-3.5845535714285468031903e+00, -4
6.4374603174601823241119e+00, -3
-9.5509523809521397197386e+00, -2
1.0252857142856939276498e+01, -1
-6.1765046296295942340748e+00, 0
1.3006349206349994140908e+00, 1
1.9010822510816466346384e-01, 2
-3.0692640692625700049589e-02, 3
2.0030663780654283170901e-03, 4
B3
number of lines to read: 14
-2.0030663780463923290265e-03, -10
2.9231000480725626011758e-02, -9
-1.9975108224933674216928e-01, -8
8.4972222221545301579226e-01, -7
-2.5251488095059593241842e+00, -6
5.5855357142520318802781e+00, -5
-9.5997619047153754934243e+00, -4
1.3311984126936906136507e+01, -3
-1.5566160714250948160498e+01, -2
1.4262996031727984913573e+01, -1
-8.1815740740677735942654e+00, 0
