forward 0
number of lines to read: 7
5.8333333333313142077259e+00, 0
-3.0999999999984531484643e+01, 1
6.8499999999962028596201e+01, 2
-8.0666666666622177217505e+01, 3
5.3499999999971706188262e+01, 4
-1.8999999999990269117234e+01, 5
2.8333333333319146163376e+00, 6
forward 1
number of lines to read: 7
2.8333333333333579062696e+00, -1
-1.4000000000000088817842e+01, 0
2.8500000000000095923269e+01, 1
-3.0666666666666696272614e+01, 2
1.8499999999999996447286e+01, 3
-5.9999999999999982236432e+00, 4
8.3333333333333303727386e-01, 5
forward 2
number of lines to read: 7
8.3333333333333270420695e-01, -2
-2.9999999999999968913755e+00, -1
3.4999999999999928945726e+00, 0
-6.6666666666666307694555e-01, 1
-1.5000000000000000000000e+00, 2
9.9999999999999955591079e-01, 3
-1.6666666666666660190366e-01, 4
central 0
number of lines to read: 7
-1.6666666666666665741481e-01, -3
2.0000000000000004440892e+00, -2
-6.5000000000000124344979e+00, -1
9.3333333333333676762322e+00, 0
-6.5000000000000222044605e+00, 1
2.0000000000000026645353e+00, 2
-1.6666666666666693497056e-01, 3
backward 2
number of lines to read: 7
-1.6666666666666668517038e-01, -4
1.0000000000000002220446e+00, -3
-1.5000000000000013322676e+00, -2
-6.6666666666666252183404e-01, -1
3.4999999999999942268403e+00, 0
-2.9999999999999973354647e+00, 1
8.3333333333333337034077e-01, 2
backward 1
number of lines to read: 7
8.3333333333332870740406e-01, -5
-5.9999999999999698019337e+00, -4
1.8499999999999914734872e+01, -3
-3.0666666666666536400498e+01, -2
2.8499999999999893418590e+01, -1
-1.3999999999999955591079e+01, 0
2.8333333333333250436681e+00, 1
backward 0
number of lines to read: 7
2.8333333333333361458983e+00, -6
-1.9000000000000021316282e+01, -5
5.3500000000000085265128e+01, -4
-8.0666666666666856144730e+01, -3
6.8500000000000270006240e+01, -2
-3.1000000000000209610107e+01, -1
5.8333333333333898806927e+00, 0
