forward 0
number of lines to read: 6
-2.2833333333333198922332e+00, 0
4.9999999999999520383653e+00, 1
-4.9999999999999280575480e+00, 2
3.3333333333332775261226e+00, 3
-1.2499999999999775734949e+00, 4
1.9999999999999626409952e-01, 5
forward 1
number of lines to read: 6
-1.9999999999999928945726e-01, -1
-1.0833333333333348136307e+00, 0
2.0000000000000013322676e+00, 1
-1.0000000000000006661338e+00, 2
3.3333333333333342585192e-01, 3
-5.0000000000000009714451e-02, 4
forward 2
number of lines to read: 6
4.9999999999999981958876e-02, -2
-4.9999999999999977795540e-01, -1
-3.3333333333333348136307e-01, 0
1.0000000000000000000000e+00, 1
-2.5000000000000000000000e-01, 2
3.3333333333333332870740e-02, 3
backward 2
number of lines to read: 6
-3.3333333333333325931847e-02, -3
2.4999999999999994448885e-01, -2
-9.9999999999999977795540e-01, -1
3.3333333333333320380731e-01, 0
5.0000000000000000000000e-01, 1
-4.9999999999999988897770e-02, 2
backward 1
number of lines to read: 6
4.9999999999999988897770e-02, -4
-3.3333333333333320380731e-01, -3
9.9999999999999955591079e-01, -2
-1.9999999999999993338662e+00, -1
1.0833333333333328152293e+00, 0
2.0000000000000023314684e-01, 1
backward 0
number of lines to read: 6
-2.0000000000000109356968e-01, -5
1.2500000000000064392935e+00, -4
-3.3333333333333494685746e+00, -3
5.0000000000000222044605e+00, -2
-5.0000000000000168753900e+00, -1
2.2833333333333389880693e+00, 0
