forward 0
number of lines to read: 8
-8.0583333332623467981648e+00, 0
4.2533333332961660744331e+01, 1
-9.8224999999146220375223e+01, 2
1.2966666666554309017556e+02, 3
-1.0604166666574946020773e+02, 4
5.3599999999536962036473e+01, 5
-1.5408333333200321391132e+01, 6
1.9333333333166504708345e+00, 7
forward 1
number of lines to read: 8
-1.9333333333333504455709e+00, -1
7.4083333333333696302248e+00, 0
-1.1599999999999990762944e+01, 1
1.0041666666666580809419e+01, 2
-5.6666666666665719276352e+00, 3
2.2249999999999494626479e+00, 4
-5.3333333333331844894332e-01, 5
5.8333333333331446879377e-02, 6
forward 2
number of lines to read: 8
-5.8333333333336477577458e-02, -2
-1.4666666666666481333436e+00, -1
5.7749999999999683808483e+00, 0
-8.3333333333333250436681e+00, 1
5.9583333333333357018091e+00, 2
-2.4000000000000003552714e+00, 3
5.9166666666666667406815e-01, 4
-6.6666666666666665741481e-02, 5
forward 3
number of lines to read: 8
6.6666666666666735130420e-02, -3
-5.9166666666666822838039e-01, -2
3.9999999999999436006703e-01, -1
2.0416666666666767326888e+00, 0
-3.6666666666666682949938e+00, 1
2.2249999999999943156581e+00, 2
-5.3333333333333188264191e-01, 3
5.8333333333333188541747e-02, 4
backward 3
number of lines to read: 8
-5.8333333333333348136307e-02, -4
5.3333333333333343695415e-01, -3
-2.2250000000000005329071e+00, -2
3.6666666666666678509046e+00, -1
-2.0416666666666687390830e+00, 0
-3.9999999999999880095913e-01, 1
5.9166666666666678509046e-01, 2
-6.6666666666666693497056e-02, 3
backward 2
number of lines to read: 8
6.6666666666666568596966e-02, -5
-5.9166666666666611895664e-01, -4
2.3999999999999990230037e+00, -3
-5.9583333333333339254523e+00, -2
8.3333333333333374781660e+00, -1
-5.7750000000000021316282e+00, 0
1.4666666666666672291797e+00, 1
5.8333333333333056702763e-02, 2
backward 1
number of lines to read: 8
-5.8333333333331224834772e-02, -6
5.3333333333331656156417e-01, -5
-2.2249999999999419131314e+00, -4
5.6666666666665532758884e+00, -3
-1.0041666666666531071428e+01, -2
1.1599999999999903721459e+01, -1
-7.4083333333332941350591e+00, 0
1.9333333333333269088428e+00, 1
backward 0
number of lines to read: 8
-1.9333333333343820648054e+00, -7
1.5408333333341619919565e+01, -6
-5.3600000000028416025089e+01, -5
1.0604166666672162477880e+02, -4
-1.2966666666673148711197e+02, -3
9.8225000000046620129979e+01, -2
-4.2533333333352231875324e+01, -1
8.0583333333366624628979e+00, 0
