forward 0
number of lines to read: 7
4.5111111111099795323298e+00, 0
-1.7399999999994214761045e+01, 1
2.9249999999987853271932e+01, 2
-2.8222222222208678488187e+01, 3
1.6499999999991434407320e+01, 4
-5.3999999999970560438101e+00, 5
7.6111111111068219248210e-01, 6
forward 1
number of lines to read: 7
7.6111111111111195981493e-01, -1
-8.1666666666666998253277e-01, 0
-1.4166666666666625218340e+00, 1
2.6111111111111084959191e+00, 2
-1.5833333333333323711400e+00, 3
5.1666666666666649643247e-01, 4
-7.2222222222222201559738e-02, 5
forward 2
number of lines to read: 7
-7.2222222222222229315314e-02, -2
1.2666666666666672735886e+00, -1
-2.3333333333333339254523e+00, 0
1.1111111111111111604544e+00, 1
8.3333333333333328707404e-02, 2
-6.6666666666666637985905e-02, 3
1.1111111111111106330984e-02, 4
central 0
number of lines to read: 7
1.1111111111111115004602e-02, -3
-1.5000000000000007771561e-01, -2
1.5000000000000004440892e+00, -1
-2.7222222222222240972656e+00, 0
1.5000000000000015543122e+00, 1
-1.5000000000000024424907e-01, 2
1.1111111111111132351836e-02, 3
backward 2
number of lines to read: 7
1.1111111111111120208772e-02, -4
-6.6666666666666735130420e-02, -3
8.3333333333333522996433e-02, -2
1.1111111111111109384098e+00, -1
-2.3333333333333334813631e+00, 0
1.2666666666666668294994e+00, 1
-7.2222222222222243193102e-02, 2
backward 1
number of lines to read: 7
-7.2222222222221854615043e-02, -5
5.1666666666666416496412e-01, -4
-1.5833333333333261538911e+00, -3
2.6111111111111000582241e+00, -2
-1.4166666666666578588973e+00, -1
-8.1666666666667053764428e-01, 0
7.6111111111111195981493e-01, 1
backward 0
number of lines to read: 7
7.6111111111111595661782e-01, -6
-5.4000000000000349942297e+00, -5
1.6500000000000110134124e+01, -4
-2.8222222222222413279269e+01, -3
2.9250000000000202504680e+01, -2
-1.7400000000000122923893e+01, -1
4.5111111111111394933459e+00, 0
