forward 0
number of lines to read: 8
-7.6666666665167060301656e+00, 0
4.9166666665883624887101e+01, 1
-1.3499999999820050788912e+02, 2
2.0583333333096044270860e+02, 3
-1.8833333333139262322220e+02, 4
1.0349999999901916680756e+02, 5
-3.1666666666384692518932e+01, 6
4.1666666666312783817716e+00, 7
forward 1
number of lines to read: 8
-4.1666666666674112562418e+00, -1
2.5666666666668362495329e+01, 0
-6.7499999999999886313162e+01, 1
9.8333333333330074310652e+01, 2
-8.5833333333329761671848e+01, 3
4.4999999999998173905169e+01, 4
-1.3166666666666147378351e+01, 5
1.6666666666666021257015e+00, 6
forward 2
number of lines to read: 8
-1.6666666666667004914615e+00, -2
9.1666666666671563490354e+00, -1
-2.1000000000001005417971e+01, 0
2.5833333333333907688711e+01, 1
-1.8333333333333392545228e+01, 2
7.5000000000000071054274e+00, 3
-1.6666666666666678509046e+00, 4
1.6666666666666676843711e-01, 5
forward 3
number of lines to read: 8
-1.6666666666666704599287e-01, -3
-3.3333333333332759718104e-01, -2
4.5000000000000248689958e+00, -1
-1.1666666666666698048971e+01, 0
1.4166666666666669627261e+01, 1
-8.9999999999999680255769e+00, 2
2.8333333333333250436681e+00, 3
-3.3333333333333248216235e-01, 4
backward 3
number of lines to read: 8
3.3333333333333337034077e-01, -4
-2.8333333333333334813631e+00, -3
9.0000000000000000000000e+00, -2
-1.4166666666666664298191e+01, -1
1.1666666666666664298191e+01, 0
-4.4999999999999991118216e+00, 1
3.3333333333333248216235e-01, 2
1.6666666666666679619269e-01, 3
backward 2
number of lines to read: 8
-1.6666666666666637985905e-01, -5
1.6666666666666649643247e+00, -4
-7.4999999999999973354647e+00, -3
1.8333333333333335701809e+01, -2
-2.5833333333333335701809e+01, -1
2.1000000000000000000000e+01, 0
-9.1666666666666660745477e+00, 1
1.6666666666666671847707e+00, 2
backward 1
number of lines to read: 8
-1.6666666666666236640282e+00, -6
1.3166666666666330343105e+01, -5
-4.4999999999998841815341e+01, -4
8.5833333333331069070482e+01, -3
-9.8333333333330600112276e+01, -2
6.7499999999997982058630e+01, -1
-2.5666666666665829410476e+01, 0
4.1666666666665257423574e+00, 1
backward 0
number of lines to read: 8
-4.1666666666685232556233e+00, -7
3.1666666666681329900257e+01, -6
-1.0350000000005039169082e+02, -5
1.8833333333343108506597e+02, -4
-2.0583333333344904758633e+02, -3
1.3500000000008347456060e+02, -2
-4.9166666666700599819251e+01, -1
7.6666666666726515089181e+00, 0
