F0
number of lines to read: 28
-1.1228150867890586539488e+02, 0
2.2457270829088810160101e+02, 1
-1.1230287714102961160734e+02, 2
1.1685880462309679306276e-02, 3
-8.3616357051733858910458e-06, 4
1.0247183546625912564512e-08, 5
7.0482918380948639287652e-12, 6
-4.6623735724931282784040e-12, 7
-2.2151261565079853504274e-11, 8
-2.3559684721120148451512e-12, 9
1.3889860817386409763685e+01, 10
-9.6055222427855895261928e+00, 11
-1.7577581864075571616013e+02, 12
1.1050673795409603883400e+02, 13
1.2897158261859635786095e+03, 14
-8.9810754847882969897910e+02, 15
-9.3279497852084114128957e+03, 16
2.3423386241129497648217e+04, 17
-1.1844727618546441590297e+04, 18
-3.7089557687483284098562e+04, 19
8.0768281358814376289956e+04, 20
-7.1555262815592097467743e+04, 21
2.3561382761025935906218e+04, 22
1.2811719680238331420696e+04, 23
-1.7954471563763450831175e+04, 24
8.8182741804167144437088e+03, 25
-2.1626330311664860346355e+03, 26
2.2093474454024422470866e+02, 27
F1
number of lines to read: 28
-4.9271149975642041241031e+00, -1
1.4778669506337498873449e+01, 0
-1.4762133554289256665015e+01, 1
4.9110262233882169269350e+00, 2
-4.4747281469207316308492e-04, 3
2.9528192102938046405646e-07, 4
-3.4169600260844740707483e-10, 5
-3.8303468477139910882553e-13, 6
2.5055836069527942107906e-13, 7
7.7742792932943148291992e-13, 8
1.1392996031882438500316e-12, 9
-1.1031094040257055866050e+01, 10
7.6285443431724671015104e+00, 11
1.0372772501471433770348e+02, 12
-6.4799952752804514943819e+01, 13
-5.7079869070665017716237e+02, 14
3.9285629740327158287982e+02, 15
3.0306672536933365336154e+03, 16
-6.7661395608020848158048e+03, 17
3.2284956471506684465567e+03, 18
7.2035950310397347493563e+03, 19
-1.3670366827594394635526e+04, 20
1.0198354658249669228098e+04, 21
-2.9240953174391102038499e+03, 22
-8.9287252237844234059594e+02, 23
1.0259537461482109392819e+03, 24
-3.3059658051287129865159e+02, 25
3.9421643183836813761900e+01, 26
F2
number of lines to read: 28
-6.2408874143269510437193e-01, -2
-1.1279231527744190799467e+01, -1
2.7613823435756483348769e+01, 0
-1.8877426897849794329431e+01, 1
3.1673772486832407757618e+00, 2
-5.8086929076038356853373e-04, 3
6.1846032099172527584204e-07, 4
-9.6318818943458551284451e-10, 5
3.5060380063103818956068e-12, 6
7.9056098847534356450715e-13, 7
3.0997401719746144527167e-13, 8
3.2016838289436398451896e-14, 9
-1.5198895661647304766717e+00, 10
1.0510784252133968941223e+00, 11
7.7637803870309483045276e+00, 12
-4.7493178541080185439682e+00, 13
-2.1613203485776377732464e+01, 14
1.4224580522718326847098e+01, 15
4.6692001175426170789251e+01, 16
-7.0290537335614075686863e+01, 17
2.5482116806761087701716e+01, 18
2.4725531032606911097105e+00, 19
1.4207235168757563315012e+01, 20
-2.2203609363609807303419e+01, 21
8.0135637430518809054547e+00, 22
2.1694165173708190863522e+00, 23
-2.0866731747510689487513e+00, 24
3.8690493043334950318268e-01, 25
F3
number of lines to read: 28
-6.0689140673047471306011e-06, -3
4.7577279342950051788108e-01, -2
-1.4475050696416000978184e-02, -1
-2.6158310831157947085046e+00, 0
3.4408313452510275176621e+00, 1
-1.2634217832941980752537e+00, 2
1.9638314420985638415924e-04, 3
-2.0958262123140030189047e-07, 4
3.2748403240760647277719e-10, 5
-1.8920459194327104363013e-12, 6
-5.5938161235064584310925e-13, 7
-2.1102175726712236213681e-13, 8
7.8855327959036453495216e-15, 9
-1.3796268938933946568426e+00, 10
9.5407988533965371047429e-01, 11
8.3531475681504971930735e+00, 12
-5.1469710657046023882799e+00, 13
-2.8032580371465353863414e+01, 14
1.8732039917384462057726e+01, 15
8.2286058909969142405316e+01, 16
-1.4634744239065935289545e+02, 17
6.0821926884443996641494e+01, 18
6.5155741315930185919569e+01, 19
-9.2084344372973802705928e+01, 20
4.5585482614020136793442e+01, 21
-8.7690824082214291479431e+00, 22
-4.1155123952249106356049e-01, 23
2.8312164720225962977196e-01, 24
F4
number of lines to read: 28
2.8715018179912761044081e-03, -4
-5.7570032775195878471663e+00, -3
7.2532496362475200157860e+01, -2
3.7282112898356176629022e+03, -1
-7.5927605075627652695403e+03, 0
3.7353802619900134232012e+03, 1
6.6520392201210100324715e+01, 2
-4.1373926421159259447791e+00, 3
7.2739974625618403214489e-03, 4
-1.1929880886162494194025e-05, 5
2.4502457178913577463971e-07, 6
4.8817936069756293493957e-08, 7
7.9787941715795816940622e-09, 8
-1.4245853962905671911863e-09, 9
1.3826576268480270104355e-01, 10
-9.5617578231942418343081e-02, 11
-4.5298694944947487384113e-01, 12
2.6990428815682920848928e-01, 13
9.5797077754119408510292e-01, 14
-6.1549075267087416385436e-01, 15
-1.8228474909886256405400e+00, 16
2.8146012836472942275634e+00, 17
-1.0552227071901354449324e+00, 18
-7.0720715883330342865776e-01, 19
8.3961041782615608575213e-01, 20
-3.1406232067532474649951e-01, 21
4.3082227240175671734157e-02, 22
2.0124605772355139486727e-07, 23
F5
number of lines to read: 28
-1.9729824042181204214860e-06, -5
4.6410285949176821249096e-03, -4
-7.8884017710532345901697e+00, -3
1.1361141595942146409470e+02, -2
-3.6790672177886272038450e+03, -1
7.1419030077882644036436e+03, 0
-3.6667090085393888330145e+03, 1
1.0319867837328941106989e+02, 2
-5.0623353120551044526110e+00, 3
9.2034075635899059014688e-03, 4
-1.5423644734040726909279e-05, 5
3.0915941249397434984072e-07, 6
6.3469244665431779095837e-08, 7
1.0658473207720154919374e-08, 8
-1.8542827487015057079310e-09, 9
