forward 0
number of lines to read: 7
-6.1249999999978985698590e+00, 0
2.8999999999987565502124e+01, 1
-5.7624999999972160935613e+01, 2
6.1999999999968316899412e+01, 3
-3.8374999999979934273142e+01, 4
1.2999999999993104182749e+01, 5
-1.8749999999989950261181e+00, 6
forward 1
number of lines to read: 7
-1.8750000000000000000000e+00, -1
7.0000000000000017763568e+00, 0
-1.0375000000000001776357e+01, 1
8.0000000000000000000000e+00, 2
-3.6249999999999991118216e+00, 3
9.9999999999999955591079e-01, 4
-1.2499999999999994448885e-01, 5
forward 2
number of lines to read: 7
-1.2499999999999852895449e-01, -2
-1.0000000000000053290705e+00, -1
4.3750000000000088817842e+00, 0
-6.0000000000000026645353e+00, 1
3.6249999999999991118216e+00, 2
-9.9999999999999955591079e-01, 3
1.2499999999999993061106e-01, 4
central 0
number of lines to read: 7
1.2500000000000000000000e-01, -3
-9.9999999999999977795540e-01, -2
1.6249999999999920063942e+00, -1
1.8025291404416313557511e-14, 0
-1.6250000000000122124533e+00, 1
1.0000000000000019984014e+00, 2
-1.2500000000000016653345e-01, 3
backward 2
number of lines to read: 7
-1.2500000000000000000000e-01, -4
1.0000000000000000000000e+00, -3
-3.6250000000000004440892e+00, -2
6.0000000000000017763568e+00, -1
-4.3750000000000035527137e+00, 0
1.0000000000000022204460e+00, 1
1.2499999999999986122212e-01, 2
backward 1
number of lines to read: 7
1.2499999999999918121052e-01, -5
-9.9999999999999422684027e-01, -4
3.6249999999999831246100e+00, -3
-7.9999999999999742428258e+00, -2
1.0374999999999980460075e+01, -1
-6.9999999999999928945726e+00, 0
1.8749999999999991118216e+00, 1
backward 0
number of lines to read: 7
1.8750000000000073274720e+00, -6
-1.3000000000000055067062e+01, -5
3.8375000000000170530257e+01, -4
-6.2000000000000298427949e+01, -3
5.7625000000000341060513e+01, -2
-2.9000000000000220268248e+01, -1
6.1250000000000541788836e+00, 0
