F0
number of lines to read: 11
2.2598744680758755976058e+01, 0
-1.7564577701365857365090e+02, 1
6.3039765445731302406784e+02, 2
-1.3769492848061977383622e+03, 3
2.0238528947687038908043e+03, 4
-2.0849667886867728157085e+03, 5
1.5190612009429182762688e+03, 6
-7.7028258563550730286806e+02, 7
2.5946013464157329053705e+02, 8
-5.2312437026437699216785e+01, 9
4.7862436773067607020948e+00, 10
F1
number of lines to read: 11
4.7862433853355099699911e+00, -1
-3.0049933854112680364778e+01, 0
8.7597619015958059662807e+01, 1
-1.5933253961376544793893e+02, 2
2.0251111101397066249774e+02, 3
-1.8739166657166146023883e+02, 4
1.2627777771196923595198e+02, 5
-6.0399206317270099475536e+01, 6
1.9447619037256284713067e+01, 7
-3.7832671937432360564912e+00, 8
3.3624338606317960564951e-01, 9
F2
number of lines to read: 11
3.3624338623766503175716e-01, -2
1.0875661378322987182798e+00, -1
-1.1556547619955043870732e+01, 0
3.2117460318890550752258e+01, 1
-4.8372222223716974554009e+01, 2
4.7166666667804349799553e+01, 3
-3.2047222222872875363464e+01, 4
1.5317460317732695784798e+01, 5
-4.9190476191263181604540e+00, 6
9.5423280424680934075354e-01, 7
-8.4589947091102637988236e-02, 8
F3
number of lines to read: 11
-8.4589947088478528725020e-02, -3
1.2667328042087553363615e+00, -2
-3.5648809519035449255853e+00, -1
2.4007936499049034040354e+00, 0
4.2027777781455828431945e+00, 1
-9.2916666665257192647687e+00, 2
8.0861111109820509312840e+00, 3
-4.1325396824746469803813e+00, 4
1.3601190475978146565694e+00, 5
-2.6660052909638326523734e-01, 6
2.3743386243017680636846e-02, 7
F4
number of lines to read: 11
2.3743386243388168999058e-02, -4
-3.4576719576722381166434e-01, -3
2.5726190476192467571082e+00, -2
-7.4825396825354495433658e+00, -1
1.0236111111102745852008e+01, 0
-6.7666666666627666160139e+00, 1
1.6777777777780999990398e+00, 2
2.5079365079357396339788e-01, 3
-2.1488095238094012673358e-01, 4
5.4232804232803369370863e-02, 5
-5.4232804232804349489627e-03, 6
C0
number of lines to read: 11
-5.4232804232806977595693e-03, -5
8.3399470899474539842267e-02, -4
-6.4404761904764273872104e-01, -3
3.4674603174604232691536e+00, -2
-9.2722222222219237153240e+00, -1
1.2741666666665906859635e+01, 0
-9.2722222222218171339136e+00, 1
3.4674603174603069177806e+00, 2
-6.4404761904761342883319e-01, 3
8.3399470899469627105383e-02, 4
-5.4232804232803039773403e-03, 5
B4
number of lines to read: 11
-5.4232804232803889787906e-03, -6
5.4232804232803896726800e-02, -5
-2.1488095238095117345267e-01, -4
2.5079365079365045776427e-01, -3
1.6777777777777558299022e+00, -2
-6.7666666666665769014344e+00, -1
1.0236111111110986371386e+01, 0
-7.4825396825396062183700e+00, 1
2.5726190476190331501982e+00, 2
-3.4576719576719350257576e-01, 3
2.3743386243386101208674e-02, 4
B3
number of lines to read: 11
2.3743386243386191414295e-02, -7
-2.6660052910052856045553e-01, -6
1.3601190476190445632909e+00, -5
-4.1325396825396687461307e+00, -4
8.0861111111110588467454e+00, -3
-9.2916666666665257423574e+00, -2
4.2027777777775323642118e+00, -1
2.4007936507939087178443e+00, 0
-3.5648809523811078037170e+00, 1
1.2667328042328520609772e+00, 2
-8.4589947089952918779510e-02, 3
B2
number of lines to read: 11
-8.4589947089954431458381e-02, -8
9.5423280423288092677581e-01, -7
-4.9190476190479772711228e+00, -6
1.5317460317461307539588e+01, -5
-3.2047222222224036158877e+01, -4
4.7166666666669023300074e+01, -3
-4.8372222222224536380963e+01, -2
3.2117460317462089847140e+01, -1
-1.1556547619048663122499e+01, 0
1.0875661375665506280797e+00, 1
3.3624338624331617797480e-01, 2
B1
number of lines to read: 11
3.3624338624381733264812e-01, -9
-3.7832671957720682698323e+00, -8
1.9447619047644202794345e+01, -7
-6.0399206349284632722174e+01, -6
1.2627777777794059943517e+02, -5
-1.8739166666690306328746e+02, -4
2.0251111111135287501384e+02, -3
-1.5933253968271048961469e+02, -2
8.7597619047698017880066e+01, -1
-3.0049933862455031174932e+01, 0
4.7862433862457809397029e+00, 1
B0
number of lines to read: 11
4.7862433861474160678995e+00, -10
-5.2312433861385187583437e+01, -9
2.5946011904242766377138e+02, -8
-7.7028253966719580603240e+02, -7
1.5190611110811046273739e+03, -6
-2.0849666666260773126851e+03, -5
2.0238527777393096585001e+03, -4
-1.3769492063239899835025e+03, -3
6.3039761903668068043771e+02, -2
-1.7564576719292691109331e+02, -1
2.2598743385905208924669e+01, 0
