forward 0
number of lines to read: 13
6.3081334830495237042669e+01, 0
-7.0332367161741012751008e+02, 1
3.6008266153990944076213e+03, 2
-1.1195413701542518538190e+04, 3
2.3545597520172097574687e+04, 4
-3.5292758141935744788498e+04, 5
3.8662069281364019843750e+04, 6
-3.1189043910585507546784e+04, 7
1.8388967827887430757983e+04, 8
-7.7276766481112326800940e+03, 9
2.1969425026446315314388e+03, 10
-3.7935414587109437434265e+02, 11
3.0085137365739537784748e+01, 12
forward 1
number of lines to read: 13
3.0086077035423379300028e+01, -1
-3.2803327778620098342799e+02, 0
1.6433502643453414293617e+03, 1
-5.0036123530005161228473e+03, 2
1.0315627676152518688468e+04, 3
-1.5174203838412195182173e+04, 4
1.6333570658326256307191e+04, 5
-1.2964203068708426144440e+04, 6
7.5306267347082639389555e+03, 7
-3.1219451474432098621037e+03, 8
8.7668352703728510277870e+02, 9
-1.4970003255383178952798e+02, 10
1.1752780299291844201548e+01, 11
forward 2
number of lines to read: 13
1.1752777486598365186410e+01, -2
-1.2270000030243696187426e+02, -1
5.8868333979099668340496e+02, 0
-1.7179444613245693744830e+03, 1
3.3996250253886255450197e+03, 2
-4.8102000264214193521184e+03, 3
4.9935666875647966662655e+03, 4
-3.8342000127102915030264e+03, 5
2.1616250058813438954530e+03, 6
-8.7261111311710976679024e+02, 7
2.3935000047573021220160e+02, 8
-4.0033333403403517536390e+01, 9
3.0861111159386922508929e+00, 10
forward 3
number of lines to read: 13
3.0861111274930532744065e+00, -3
-2.8366666931402658491379e+01, -2
1.1801666306840307640869e+02, -1
-2.9394443496361799361694e+02, 0
4.8862499006855790639747e+02, 1
-5.7219999021139312844753e+02, 2
4.8556665666464124342383e+02, 3
-3.0219999276853036462853e+02, 4
1.3762499614898419508791e+02, 5
-4.4944442961906020173046e+01, 6
1.0016666275436865163329e+01, 7
-1.3666666032653949081066e+00, 8
8.6111106349539820459249e-02, 9
forward 4
number of lines to read: 13
8.6111111007729029820368e-02, -4
1.9666666681055382515098e+00, -3
-2.1650000009351302310279e+01, -2
9.3388889289615136135581e+01, -1
-2.3237500076435586038315e+02, 0
3.7780000032781384788905e+02, 1
-4.2443333324699983677419e+02, 2
3.3779999992690761700942e+02, 3
-1.9137499995919390016752e+02, 4
7.6055555539639712492317e+01, 5
-2.0316666662462012027390e+01, 6
3.2999999993208120052657e+00, 7
-2.4722222217145348177603e-01, 8
forward 5
number of lines to read: 13
-2.4722222222229259247506e-01, -5
3.2999999999982212450789e+00, -4
-1.7316666666616910674747e+01, -3
4.9055555554867886769443e+01, -2
-8.3374999992154599226524e+01, -1
8.5799999985738395480439e+01, 0
-4.6433333325041630246233e+01, 1
-2.0000000176021662245951e-01, 2
1.9625000000758372920018e+01, 3
-1.4611111111365740811152e+01, 4
5.3500000000603167293889e+00, 5
-1.0333333333422989319672e+00, 6
8.6111111111738941614746e-02, 7
central 0
number of lines to read: 13
8.6111111111157434550023e-02, -6
-1.3666666666673035201995e+00, -5
1.0016666666670785090787e+01, -4
-4.1944444444460977194922e+01, -3
1.1062500000003397815362e+02, -2
-1.9420000000027170017347e+02, -1
2.3356666666707340596076e+02, 0
-1.9420000000007195239959e+02, 1
1.1062499999988939691775e+02, 2
-4.1944444444406244087986e+01, 3
1.0016666666658240458787e+01, 4
-1.3666666666654856410190e+00, 5
8.6111111111031840570362e-02, 6
backward 5
number of lines to read: 13
8.6111111111111346416713e-02, -7
-1.0333333333333343251326e+00, -6
5.3499999999999845456955e+00, -5
-1.4611111111110888671760e+01, -4
1.9624999999998422595127e+01, -3
-1.9999999999173018183640e-01, -2
-4.6433333333399701814415e+01, -1
8.5800000000120959953165e+01, 0
-8.3375000000068325789471e+01, 1
4.9055555555561781488905e+01, 2
-1.7316666666667703822213e+01, 3
3.3000000000001112887560e+00, 4
-2.4722222222222828280636e-01, 5
backward 4
number of lines to read: 13
-2.4722222222221126863850e-01, -8
3.2999999999998568256387e+00, -7
-2.0316666666665824436677e+01, -6
7.6055555555552643909323e+01, -5
-1.9137499999999354827196e+02, -4
3.3779999999999097326508e+02, -3
-4.2443333333332662959947e+02, -2
3.7780000000000035242920e+02, -1
-2.3237500000000520117283e+02, 0
9.3388888888893063722207e+01, 1
-2.1650000000001416111672e+01, 2
1.9666666666669470053819e+00, 3
8.6111111111090599123941e-02, 4
backward 3
number of lines to read: 13
8.6111111111311353094599e-02, -9
-1.3666666666692106613112e+00, -8
1.0016666666681533826022e+01, -7
-4.4944444444497349877565e+01, -6
1.3762500000012786927073e+02, -5
-3.0220000000022122321752e+02, -4
4.8556666666694741252286e+02, -3
-5.7220000000026277575671e+02, -2
4.8862500000017865886548e+02, -1
-2.9394444444452869902307e+02, 0
1.1801666666669218841434e+02, 1
-2.8366666666671019214618e+01, 2
3.0861111111113945781881e+00, 3
backward 2
